nitrogen,phosphorus,potassium,temperature,humidity,rainfall,ph,crop_label
66,30,44,26,50,91,6.3,Onion
81,39,54,22,60,111,6.8,Brinjal
56,25,39,28,45,76,6.0,Okra
61,29,44,20,65,121,6.2,Cabbage
76,34,49,18,70,131,6.4,Cauliflower
51,19,34,25,50,86,6.1,Carrot
86,44,59,23,55,96,6.6,Chili
73,36,50,25,56,103,6.6,Tomato
68,31,45,27,51,93,6.4,Onion
83,40,55,23,61,113,6.9,Brinjal
58,26,40,29,46,78,6.1,Okra
63,30,45,21,66,123,6.3,Cabbage
78,35,50,19,71,133,6.5,Cauliflower
53,20,35,26,51,88,6.2,Carrot
88,45,60,24,56,98,6.7,Chili
69,33,47,23,53,97,6.4,Tomato
64,28,42,25,48,87,6.2,Onion
79,37,52,21,58,107,6.7,Brinjal
54,23,37,27,43,72,5.9,Okra
59,27,42,19,63,117,6.1,Cabbage
74,32,47,17,68,127,6.3,Cauliflower
49,17,32,24,48,82,6.0,Carrot
84,42,57,22,53,92,6.5,Chili
75,38,52,26,58,105,6.7,Tomato
70,33,47,28,53,95,6.5,Onion
85,42,57,24,63,115,7.0,Brinjal
60,28,43,30,48,80,6.2,Okra
65,33,48,22,68,125,6.4,Cabbage
80,38,53,20,73,135,6.6,Cauliflower
55,23,38,27,53,90,6.3,Carrot
90,48,63,25,58,100,6.8,Chili
91,41,41,25,61,121,6.5,Rice
81,31,36,22,56,101,6.8,Wheat
101,51,61,31,71,151,7.0,Sugarcane
71,20,30,28,50,81,6.2,Cotton
61,25,35,26,45,91,6.5,Maize
51,30,40,24,55,111,6.0,Pulses
87,37,37,23,57,117,6.3,Rice
77,27,32,20,52,97,6.6,Wheat
107,52,62,30,72,157,6.9,Sugarcane
67,22,32,27,49,82,6.1,Cotton
57,26,36,24,46,92,6.4,Maize
47,32,42,21,56,112,5.8,Pulses
93,43,43,26,63,123,6.6,Rice
83,33,38,23,58,103,6.9,Wheat
103,53,63,32,73,153,7.1,Sugarcane
73,21,31,29,51,83,6.2,Cotton
63,27,37,25,47,93,6.3,Maize
53,33,43,22,57,113,5.9,Pulses
89,39,39,24,59,119,6.4,Rice
79,29,34,21,54,99,6.7,Wheat
109,54,64,31,74,159,7.0,Sugarcane
69,23,33,28,50,84,6.2,Cotton
59,28,38,25,48,94,6.4,Maize
49,34,44,22,58,114,5.8,Pulses
94,44,44,26,64,124,6.6,Rice
84,34,39,23,59,104,6.9,Wheat
104,54,64,32,74,154,7.1,Sugarcane
74,22,32,29,52,84,6.2,Cotton
64,28,38,26,48,94,6.4,Maize
54,34,44,23,58,114,5.9,Pulses
76,38,53,25,57,106,6.7,Tomato
71,33,48,27,52,96,6.5,Onion
86,43,58,23,62,116,7.0,Brinjal
61,28,43,29,47,81,6.2,Okra
66,33,48,21,67,126,6.4,Cabbage
81,38,53,19,72,136,6.6,Cauliflower
56,23,38,26,52,91,6.3,Carrot
91,48,63,24,57,101,6.8,Chili
72,35,49,24,54,99,6.5,Tomato
67,30,44,26,49,89,6.3,Onion
82,39,54,22,59,109,6.8,Brinjal
57,25,39,28,44,74,6.0,Okra
62,29,44,20,64,119,6.2,Cabbage
77,34,49,18,69,129,6.4,Cauliflower
52,19,34,25,49,84,6.1,Carrot
87,44,59,23,54,94,6.6,Chili
77,39,54,26,58,107,6.8,Tomato
72,34,49,28,53,97,6.6,Onion
87,44,59,24,64,117,7.1,Brinjal
62,29,44,30,48,82,6.3,Okra
67,34,49,22,68,127,6.5,Cabbage
82,39,54,20,73,137,6.7,Cauliflower
57,24,39,27,53,92,6.4,Carrot
92,49,64,25,58,102,6.9,Chili
70,34,48,23,53,96,6.4,Tomato
65,29,43,25,48,86,6.2,Onion
80,38,53,21,58,106,6.7,Brinjal
55,24,38,27,43,71,5.9,Okra
60,28,43,19,63,116,6.1,Cabbage
75,33,48,17,68,126,6.3,Cauliflower
50,18,33,24,48,81,6.0,Carrot
85,43,58,22,53,91,6.5,Chili
78,40,55,26,59,108,6.8,Tomato
73,35,50,28,54,98,6.6,Onion
88,45,60,24,65,118,7.1,Brinjal
63,30,45,30,49,83,6.3,Okra
68,35,50,22,69,128,6.5,Cabbage
83,40,55,20,74,138,6.7,Cauliflower
58,25,40,27,54,93,6.4,Carrot
93,50,65,25,59,103,6.9,Chili
74,36,50,24,55,100,6.6,Tomato
69,31,45,26,50,90,6.4,Onion
84,40,55,22,60,110,6.9,Brinjal
59,26,40,28,45,75,6.1,Okra
64,30,45,20,65,120,6.3,Cabbage
79,35,50,18,70,130,6.5,Cauliflower
54,20,35,25,50,85,6.2,Carrot
89,45,60,23,55,95,6.7,Chili
76,38,52,25,56,104,6.7,Tomato
71,33,47,27,51,94,6.5,Onion
86,42,57,23,61,114,7.0,Brinjal
61,27,42,29,46,79,6.2,Okra
66,32,47,21,66,124,6.4,Cabbage
81,37,52,19,71,134,6.6,Cauliflower
56,22,37,26,51,89,6.3,Carrot
91,47,62,24,56,99,6.8,Chili
