crop_name,region,year,month,avg_price,total_arrivals,seasonal_index,festival_flag
Groundnut,Erode,2023,9,5200,3300,1.6,1
Pulses,Tirunelveli,2023,9,7300,2300,1.8,1
Millet,Vellore,2023,9,2900,2600,1.4,0
Tomato,Thoothukudi,2023,9,2200,4300,1.9,1
Onion,Dindigul,2023,9,2800,5000,1.7,1
Brinjal,Chennai,2023,9,2600,3600,1.6,0
Okra,Coimbatore,2023,9,3000,3000,1.8,0
Cabbage,Madurai,2023,9,1900,3800,1.5,0
Cauliflower,Salem,2023,9,3200,3200,1.7,0
Carrot,Tiruchirappalli,2023,9,2400,2700,1.6,0
Chili,Erode,2023,9,9300,1600,2.0,1
Rice,Tirunelveli,2023,10,2650,5900,1.6,0
Wheat,Vellore,2023,10,2550,5400,1.5,0
Maize,Thoothukudi,2023,10,2250,3900,1.4,0
Cotton,Dindigul,2023,10,6400,2900,1.7,0
Sugarcane,Chennai,2023,10,3650,6900,1.5,0
Groundnut,Coimbatore,2023,10,5250,3400,1.6,0
Pulses,Madurai,2023,10,7400,2400,1.8,0
Millet,Salem,2023,10,2950,2700,1.4,0
Tomato,Tiruchirappalli,2023,10,2250,4400,1.9,0
Onion,Erode,2023,10,2850,5100,1.7,0
Brinjal,Tirunelveli,2023,10,2650,3700,1.6,0
Okra,Vellore,2023,10,3050,3100,1.8,0
Cabbage,Thoothukudi,2023,10,1950,3900,1.5,0
Cauliflower,Dindigul,2023,10,3250,3300,1.7,0
Carrot,Chennai,2023,10,2450,2800,1.6,0
Chili,Coimbatore,2023,10,9400,1650,2.0,0
Rice,Madurai,2023,11,2700,6000,1.7,1
Wheat,Salem,2023,11,2600,5500,1.6,1
Maize,Tiruchirappalli,2023,11,2300,4000,1.5,0
Cotton,Erode,2023,11,6500,3000,1.8,0
Sugarcane,Tirunelveli,2023,11,3700,7000,1.6,0
Groundnut,Vellore,2023,11,5300,3500,1.7,1
Pulses,Thoothukudi,2023,11,7500,2500,1.9,1
Millet,Dindigul,2023,11,3000,2800,1.5,0
Tomato,Chennai,2023,11,2300,4500,2.0,1
Onion,Coimbatore,2023,11,2900,5200,1.8,1
Brinjal,Madurai,2023,11,2700,3800,1.7,0
Okra,Salem,2023,11,3100,3200,1.9,0
Cabbage,Tiruchirappalli,2023,11,2000,4000,1.6,0
Cauliflower,Erode,2023,11,3300,3400,1.8,0
Carrot,Tirunelveli,2023,11,2500,2900,1.7,0
Chili,Vellore,2023,11,9500,1700,2.1,1
Rice,Thoothukudi,2023,12,2750,6100,1.7,0
Wheat,Dindigul,2023,12,2650,5600,1.6,0
Maize,Chennai,2023,12,2350,4100,1.5,0
Cotton,Coimbatore,2023,12,6600,3100,1.8,0
Sugarcane,Madurai,2023,12,3750,7100,1.6,0
Groundnut,Salem,2023,12,5350,3600,1.7,0
Pulses,Tiruchirappalli,2023,12,7600,2600,1.9,0
Millet,Erode,2023,12,3050,2900,1.5,0
Tomato,Tirunelveli,2023,12,2350,4600,2.0,0
Onion,Vellore,2023,12,2950,5300,1.8,0
Brinjal,Thoothukudi,2023,12,2750,3900,1.7,0
Okra,Dindigul,2023,12,3150,3300,1.9,0
Cabbage,Chennai,2023,12,2050,4100,1.6,0
Cauliflower,Coimbatore,2023,12,3350,3500,1.8,0
Carrot,Madurai,2023,12,2550,3000,1.7,0
Chili,Salem,2023,12,9600,1750,2.1,0
