region,crop_name,expected_demand,current_supply,area_allocated,farmer_count
Erode,Carrot,11300,10500,299,87
Erode,Chili,5800,5300,153,43
Tirunelveli,Rice,30000,28000,790,230
Tirunelveli,Wheat,25000,23300,630,183
Tirunelveli,Maize,16500,15400,435,123
Tirunelveli,Cotton,9800,9200,262,63
Tirunelveli,Sugarcane,37500,35000,1000,282
Tirunelveli,Groundnut,14200,13200,378,109
Tirunelveli,Pulses,11800,11000,315,91
Tirunelveli,Millet,7900,7400,210,59
Tirunelveli,Tomato,21500,20000,572,166
Tirunelveli,Onion,25400,23600,660,192
Tirunelveli,Brinjal,17300,16100,458,133
Tirunelveli,Okra,13300,12400,348,101
Tirunelveli,Cabbage,11800,11000,315,91
Tirunelveli,Cauliflower,14200,13200,378,109
Tirunelveli,Carrot,10300,9600,273,79
Tirunelveli,Chili,5300,4900,140,40
Vellore,Rice,28000,26100,740,215
Vellore,Wheat,23300,21700,590,171
Vellore,Maize,15400,14300,405,115
Vellore,Cotton,9100,8500,243,58
Vellore,Sugarcane,35000,32700,940,264
Vellore,Groundnut,13200,12300,352,102
Vellore,Pulses,11000,10200,293,85
Vellore,Millet,7400,6900,197,55
Vellore,Tomato,20000,18600,532,154
Vellore,Onion,23600,22000,614,179
Vellore,Brinjal,16100,15000,427,124
Vellore,Okra,12400,11500,324,94
Vellore,Cabbage,11000,10200,293,85
Vellore,Cauliflower,13200,12300,352,102
Vellore,Carrot,9600,8900,254,74
Vellore,Chili,4900,4500,130,37
Thoothukudi,Rice,26000,24200,690,200
Thoothukudi,Wheat,21700,20200,550,160
Thoothukudi,Maize,14300,13300,377,107
Thoothukudi,Cotton,8500,7900,226,54
Thoothukudi,Sugarcane,32500,30400,875,246
Thoothukudi,Groundnut,12300,11400,327,95
Thoothukudi,Pulses,10200,9500,272,79
Thoothukudi,Millet,6900,6400,183,52
Thoothukudi,Tomato,18600,17300,495,144
Thoothukudi,Onion,22000,20500,572,166
Thoothukudi,Brinjal,15000,14000,398,115
Thoothukudi,Okra,11500,10700,301,87
Thoothukudi,Cabbage,10200,9500,272,79
Thoothukudi,Cauliflower,12300,11400,327,95
Thoothukudi,Carrot,8900,8300,236,68
Thoothukudi,Chili,4600,4200,121,34
Dindigul,Rice,24000,22400,640,186
Dindigul,Wheat,20000,18600,510,148
Dindigul,Maize,13200,12300,348,99
Dindigul,Cotton,7900,7400,210,50
Dindigul,Sugarcane,30000,28000,810,228
Dindigul,Groundnut,11400,10600,303,88
Dindigul,Pulses,9500,8800,253,73
Dindigul,Millet,6400,6000,170,48
Dindigul,Tomato,17200,16000,458,133
Dindigul,Onion,20400,19000,530,154
Dindigul,Brinjal,13900,12900,368,107
Dindigul,Okra,10700,9900,280,81
Dindigul,Cabbage,9500,8800,253,73
Dindigul,Cauliflower,11400,10600,303,88
Dindigul,Carrot,8300,7700,220,64
Dindigul,Chili,4200,3900,112,32
